treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,STACK,15,21,SINGLE_VARIANCE,lhs,comma,off,random,0.13867111,0.59343688,200160,953,,,
baseline,STACK,15,22,SINGLE_VARIANCE,lhs,comma,off,random,0.13025846,0.61810151,200160,953,,,
baseline,STACK,15,23,SINGLE_VARIANCE,lhs,comma,off,random,0.12855545,0.62309449,200160,953,,,
baseline,STACK,15,24,SINGLE_VARIANCE,lhs,comma,off,random,0.1399422,0.58971022,200160,953,,,
baseline,STACK,20,0,SINGLE_VARIANCE,lhs,comma,off,random,0.10760768,0.62455231,200160,953,,,
baseline,STACK,20,1,SINGLE_VARIANCE,lhs,comma,off,random,0.09482312,0.6691582,200160,953,,,
baseline,STACK,20,2,SINGLE_VARIANCE,lhs,comma,off,random,0.08827602,0.69200129,200160,953,,,
baseline,STACK,20,3,SINGLE_VARIANCE,lhs,comma,off,random,0.08694238,0.69665442,200160,953,,,
baseline,STACK,20,4,SINGLE_VARIANCE,lhs,comma,off,random,0.0875283,0.69461011,200160,953,,,
baseline,STACK,20,5,SINGLE_VARIANCE,lhs,comma,off,random,0.09026662,0.68505601,200160,953,,,
baseline,STACK,20,6,SINGLE_VARIANCE,lhs,comma,off,random,0.09082431,0.68311021,200160,953,,,
baseline,STACK,20,7,SINGLE_VARIANCE,lhs,comma,off,random,0.18897751,0.34064959,200160,953,,,
baseline,STACK,20,8,SINGLE_VARIANCE,lhs,comma,off,random,0.09905887,0.65437946,200160,953,,,
baseline,STACK,20,9,SINGLE_VARIANCE,lhs,comma,off,random,0.09295985,0.67565921,200160,953,,,
baseline,STACK,20,10,SINGLE_VARIANCE,lhs,comma,off,random,0.10511218,0.63325924,200160,953,,,
baseline,STACK,20,11,SINGLE_VARIANCE,lhs,comma,off,random,0.0880167,0.69290607,200160,953,,,
baseline,STACK,20,12,SINGLE_VARIANCE,lhs,comma,off,random,0.21255393,0.25839049,200160,953,,,
baseline,STACK,20,13,SINGLE_VARIANCE,lhs,comma,off,random,0.10095589,0.64776071,200160,953,,,
baseline,STACK,20,14,SINGLE_VARIANCE,lhs,comma,off,random,0.10492853,0.63389998,200160,953,,,
baseline,STACK,20,15,SINGLE_VARIANCE,lhs,comma,off,random,0.10174109,0.64502109,200160,953,,,
baseline,STACK,20,16,SINGLE_VARIANCE,lhs,comma,off,random,0.08541351,0.70198871,200160,953,,,
