variant,n_circles,seed,evaluations,best_fitness
+clip+f-polish,7,0,62610,0.51715051
+clip+f-polish,7,0,62820,0.51715051
+clip+f-polish,7,0,63030,0.51715051
+clip+f-polish,7,0,63240,0.51715051
+clip+f-polish,7,0,63450,0.51715056
+clip+f-polish,7,0,63660,0.51715057
+clip+f-polish,7,0,63870,0.51715057
+clip+f-polish,7,0,64080,0.51715063
+clip+f-polish,7,0,64290,0.51715063
+clip+f-polish,7,0,64500,0.51715063
+clip+f-polish,7,0,64710,0.51715067
+clip+f-polish,7,0,64920,0.51715070
+clip+f-polish,7,0,65130,0.51715070
+clip+f-polish,7,0,65340,0.51715077
+clip+f-polish,7,0,65550,0.51715077
+clip+f-polish,7,0,65760,0.51715079
+clip+f-polish,7,0,65970,0.51715080
+clip+f-polish,7,0,66180,0.51715083
+clip+f-polish,7,0,66390,0.51715086
+clip+f-polish,7,0,66600,0.51715092
+clip+f-polish,7,0,66810,0.51715092
+clip+f-polish,7,0,67020,0.51715096
+clip+f-polish,7,0,67230,0.51715102
+clip+f-polish,7,0,67440,0.51715102
+clip+f-polish,7,0,67650,0.51715102
+clip+f-polish,7,0,67860,0.51715102
+clip+f-polish,7,0,68070,0.51715103
+clip+f-polish,7,0,68280,0.51715106
+clip+f-polish,7,0,68490,0.51715110
+clip+f-polish,7,0,68700,0.51715115
+clip+f-polish,7,0,68910,0.51715115
+clip+f-polish,7,0,69120,0.51715117
+clip+f-polish,7,0,69330,0.51715117
+clip+f-polish,7,0,69540,0.51715121
+clip+f-polish,7,0,69750,0.51715122
+clip+f-polish,7,0,69960,0.51715123
+clip+f-polish,7,0,70170,0.51715124
+clip+f-polish,7,0,70380,0.51715129
+clip+f-polish,7,0,70590,0.51715129
+clip+f-polish,7,0,70800,0.51715131
+clip+f-polish,7,0,71010,0.51715131
+clip+f-polish,7,0,71220,0.51715141
+clip+f-polish,7,0,71430,0.51715141
+clip+f-polish,7,0,71640,0.51715143
+clip+f-polish,7,0,71850,0.51715143
+clip+f-polish,7,0,72060,0.51715144
+clip+f-polish,7,0,72270,0.51715144
+clip+f-polish,7,0,72480,0.51715148
+clip+f-polish,7,0,72690,0.51715149
+clip+f-polish,7,0,72900,0.51715152
+clip+f-polish,7,0,73110,0.51715156
+clip+f-polish,7,0,73320,0.51715161
+clip+f-polish,7,0,73530,0.51715161
+clip+f-polish,7,0,73740,0.51715165
+clip+f-polish,7,0,73950,0.51715168
+clip+f-polish,7,0,74160,0.51715168
+clip+f-polish,7,0,74370,0.51715171
+clip+f-polish,7,0,74580,0.51715173
+clip+f-polish,7,0,74790,0.51715173
+clip+f-polish,7,0,75000,0.51715175
+clip+f-polish,7,0,75210,0.51715177
+clip+f-polish,7,0,75420,0.51715179
+clip+f-polish,7,0,75630,0.51715182
+clip+f-polish,7,0,75840,0.51715186
+clip+f-polish,7,0,76050,0.51715186
+clip+f-polish,7,0,76260,0.51715191
+clip+f-polish,7,0,76470,0.51715196
+clip+f-polish,7,0,76680,0.51715197
+clip+f-polish,7,0,76890,0.51715202
+clip+f-polish,7,0,77100,0.51715207
+clip+f-polish,7,0,77310,0.51715219
+clip+f-polish,7,0,77520,0.51715219
+clip+f-polish,7,0,77730,0.51715219
+clip+f-polish,7,0,77940,0.51715219
+clip+f-polish,7,0,78150,0.51715226
+clip+f-polish,7,0,78360,0.51715226
+clip+f-polish,7,0,78570,0.51715226
+clip+f-polish,7,0,78780,0.51715230
+clip+f-polish,7,0,78990,0.51715231
+clip+f-polish,7,0,79200,0.51715237
+clip+f-polish,7,0,79410,0.51715240
+clip+f-polish,7,0,79620,0.51715241
+clip+f-polish,7,0,79830,0.51715242
+clip+f-polish,7,0,80040,0.51715242
+clip+f-polish,7,0,80250,0.51715254
+clip+f-polish,7,0,80460,0.51715255
+clip+f-polish,7,0,80670,0.51715258
+clip+f-polish,7,0,80880,0.51715258
+clip+f-polish,7,0,81090,0.51715261
+clip+f-polish,7,0,81300,0.51715263
+clip+f-polish,7,0,81510,0.51715263
+clip+f-polish,7,0,81720,0.51715264
+clip+f-polish,7,0,81930,0.51715269
+clip+f-polish,7,0,82140,0.51715269
+clip+f-polish,7,0,82350,0.51715276
+clip+f-polish,7,0,82560,0.51715277
+clip+f-polish,7,0,82770,0.51715279
+clip+f-polish,7,0,82980,0.51715280
+clip+f-polish,7,0,83190,0.51715281
+clip+f-polish,7,0,83400,0.51715282
+clip+f-polish,7,0,83610,0.51715288
+clip+f-polish,7,0,83820,0.51715289
+clip+f-polish,7,0,84030,0.51715289
+clip+f-polish,7,0,84240,0.51715292
+clip+f-polish,7,0,84450,0.51715292
+clip+f-polish,7,0,84660,0.51715294
+clip+f-polish,7,0,84870,0.51715299
+clip+f-polish,7,0,85080,0.51715299
+clip+f-polish,7,0,85290,0.51715299
+clip+f-polish,7,0,85500,0.51715301
+clip+f-polish,7,0,85710,0.51715309
+clip+f-polish,7,0,85920,0.51715313
+clip+f-polish,7,0,86130,0.51715313
+clip+f-polish,7,0,86340,0.51715318
+clip+f-polish,7,0,86550,0.51715318
+clip+f-polish,7,0,86760,0.51715318
+clip+f-polish,7,0,86970,0.51715321
+clip+f-polish,7,0,87180,0.51715324
+clip+f-polish,7,0,87390,0.51715328
+clip+f-polish,7,0,87600,0.51715328
+clip+f-polish,7,0,87810,0.51715328
+clip+f-polish,7,0,88020,0.51715328
+clip+f-polish,7,0,88230,0.51715332
+clip+f-polish,7,0,88440,0.51715332
+clip+f-polish,7,0,88650,0.51715335
+clip+f-polish,7,0,88860,0.51715335
+clip+f-polish,7,0,89070,0.51715340
+clip+f-polish,7,0,89280,0.51715340
+clip+f-polish,7,0,89490,0.51715342
+clip+f-polish,7,0,89700,0.51715345
+clip+f-polish,7,0,89910,0.51715345
+clip+f-polish,7,0,90120,0.51715346
+clip+f-polish,7,0,90330,0.51715348
+clip+f-polish,7,0,90540,0.51715353
+clip+f-polish,7,0,90750,0.51715357
+clip+f-polish,7,0,90960,0.51715357
+clip+f-polish,7,0,91170,0.51715357
+clip+f-polish,7,0,91380,0.51715357
+clip+f-polish,7,0,91590,0.51715358
+clip+f-polish,7,0,91800,0.51715363
+clip+f-polish,7,0,92010,0.51715368
+clip+f-polish,7,0,92220,0.51715368
+clip+f-polish,7,0,92430,0.51715370
+clip+f-polish,7,0,92640,0.51715370
+clip+f-polish,7,0,92850,0.51715381
+clip+f-polish,7,0,93060,0.51715382
+clip+f-polish,7,0,93270,0.51715382
+clip+f-polish,7,0,93480,0.51715384
+clip+f-polish,7,0,93690,0.51715385
+clip+f-polish,7,0,93900,0.51715392
+clip+f-polish,7,0,94110,0.51715392
+clip+f-polish,7,0,94320,0.51715392
+clip+f-polish,7,0,94530,0.51715394
+clip+f-polish,7,0,94740,0.51715396
+clip+f-polish,7,0,94950,0.51715396
+clip+f-polish,7,0,95160,0.51715398
+clip+f-polish,7,0,95370,0.51715398
+clip+f-polish,7,0,95580,0.51715400
+clip+f-polish,7,0,95790,0.51715403
+clip+f-polish,7,0,96000,0.51715406
+clip+f-polish,7,0,96210,0.51715406
+clip+f-polish,7,0,96420,0.51715410
+clip+f-polish,7,0,96630,0.51715410
+clip+f-polish,7,0,96840,0.51715415
+clip+f-polish,7,0,97050,0.51715415
+clip+f-polish,7,0,97260,0.51715420
+clip+f-polish,7,0,97470,0.51715421
+clip+f-polish,7,0,97680,0.51715422
+clip+f-polish,7,0,97890,0.51715423
+clip+f-polish,7,0,98100,0.51715427
+clip+f-polish,7,0,98310,0.51715432
+clip+f-polish,7,0,98520,0.51715432
+clip+f-polish,7,0,98730,0.51715432
+clip+f-polish,7,0,98940,0.51715437
+clip+f-polish,7,0,99150,0.51715441
+clip+f-polish,7,0,99360,0.51715449
+clip+f-polish,7,0,99570,0.51715449
+clip+f-polish,7,0,99780,0.51715449
+clip+f-polish,7,0,99990,0.51715449
+clip+f-polish,7,0,100200,0.51715452
+clip+f-polish,7,0,100410,0.51715453
+clip+f-polish,7,0,100620,0.51715453
+clip+f-polish,7,0,100830,0.51715454
+clip+f-polish,7,0,101040,0.51715458
+clip+f-polish,7,0,101250,0.51715458
+clip+f-polish,7,0,101460,0.51715462
+clip+f-polish,7,0,101670,0.51715463
+clip+f-polish,7,0,101880,0.51715466
+clip+f-polish,7,0,102090,0.51715467
+clip+f-polish,7,0,102300,0.51715469
+clip+f-polish,7,0,102510,0.51715478
+clip+f-polish,7,0,102720,0.51715478
+clip+f-polish,7,0,102930,0.51715478
+clip+f-polish,7,0,103140,0.51715478
+clip+f-polish,7,0,103350,0.51715478
+clip+f-polish,7,0,103560,0.51715482
+clip+f-polish,7,0,103770,0.51715482
+clip+f-polish,7,0,103980,0.51715482
+clip+f-polish,7,0,104190,0.51715485
+clip+f-polish,7,0,104400,0.51715494
+clip+f-polish,7,0,104610,0.51715495
+clip+f-polish,7,0,104820,0.51715496
+clip+f-polish,7,0,105030,0.51715497
+clip+f-polish,7,0,105240,0.51715498
+clip+f-polish,7,0,105450,0.51715499
+clip+f-polish,7,0,105660,0.51715501
+clip+f-polish,7,0,105870,0.51715504
+clip+f-polish,7,0,106080,0.51715508
+clip+f-polish,7,0,106290,0.51715513
+clip+f-polish,7,0,106500,0.51715513
+clip+f-polish,7,0,106710,0.51715513
+clip+f-polish,7,0,106920,0.51715514
+clip+f-polish,7,0,107130,0.51715516
+clip+f-polish,7,0,107340,0.51715517
+clip+f-polish,7,0,107550,0.51715521
+clip+f-polish,7,0,107760,0.51715521
+clip+f-polish,7,0,107970,0.51715525
+clip+f-polish,7,0,108180,0.51715528
+clip+f-polish,7,0,108390,0.51715529
+clip+f-polish,7,0,108600,0.51715533
+clip+f-polish,7,0,108810,0.51715533
+clip+f-polish,7,0,109020,0.51715536
+clip+f-polish,7,0,109230,0.51715538
+clip+f-polish,7,0,109440,0.51715543
+clip+f-polish,7,0,109650,0.51715543
+clip+f-polish,7,0,109860,0.51715543
+clip+f-polish,7,0,110070,0.51715546
+clip+f-polish,7,0,110280,0.51715546
+clip+f-polish,7,0,110490,0.51715548
+clip+f-polish,7,0,110700,0.51715550
+clip+f-polish,7,0,110910,0.51715553
+clip+f-polish,7,0,111120,0.51715554
+clip+f-polish,7,0,111330,0.51715555
+clip+f-polish,7,0,111540,0.51715557
+clip+f-polish,7,0,111750,0.51715560
+clip+f-polish,7,0,111960,0.51715560
+clip+f-polish,7,0,112170,0.51715564
+clip+f-polish,7,0,112380,0.51715568
+clip+f-polish,7,0,112590,0.51715572
+clip+f-polish,7,0,112800,0.51715579
+clip+f-polish,7,0,113010,0.51715579
+clip+f-polish,7,0,113220,0.51715579
+clip+f-polish,7,0,113430,0.51715579
+clip+f-polish,7,0,113640,0.51715579
+clip+f-polish,7,0,113850,0.51715582
+clip+f-polish,7,0,114060,0.51715587
+clip+f-polish,7,0,114270,0.51715587
+clip+f-polish,7,0,114480,0.51715589
+clip+f-polish,7,0,114690,0.51715589
+clip+f-polish,7,0,114900,0.51715589
+clip+f-polish,7,0,115110,0.51715597
+clip+f-polish,7,0,115320,0.51715602
+clip+f-polish,7,0,115530,0.51715602
+clip+f-polish,7,0,115740,0.51715602
+clip+f-polish,7,0,115950,0.51715602
+clip+f-polish,7,0,116160,0.51715602
+clip+f-polish,7,0,116370,0.51715605
+clip+f-polish,7,0,116580,0.51715606
+clip+f-polish,7,0,116790,0.51715610
+clip+f-polish,7,0,117000,0.51715610
+clip+f-polish,7,0,117210,0.51715615
+clip+f-polish,7,0,117420,0.51715617
+clip+f-polish,7,0,117630,0.51715617
+clip+f-polish,7,0,117840,0.51715620
+clip+f-polish,7,0,118050,0.51715621
+clip+f-polish,7,0,118260,0.51715621
+clip+f-polish,7,0,118470,0.51715628
+clip+f-polish,7,0,118680,0.51715628
+clip+f-polish,7,0,118890,0.51715628
+clip+f-polish,7,0,119100,0.51715631
+clip+f-polish,7,0,119310,0.51715632
+clip+f-polish,7,0,119520,0.51715632
+clip+f-polish,7,0,119730,0.51715634
+clip+f-polish,7,0,119940,0.51715639
+clip+f-polish,7,0,120150,0.51715639
+clip+f-polish,7,0,120360,0.51715640
+clip+f-polish,7,0,120570,0.51715642
+clip+f-polish,7,0,120780,0.51715643
+clip+f-polish,7,0,120990,0.51715649
+clip+f-polish,7,0,121200,0.51715649
+clip+f-polish,7,0,121410,0.51715656
+clip+f-polish,7,0,121620,0.51715657
+clip+f-polish,7,0,121830,0.51715657
+clip+f-polish,7,0,122040,0.51715657
+clip+f-polish,7,0,122250,0.51715659
+clip+f-polish,7,0,122460,0.51715663
+clip+f-polish,7,0,122670,0.51715666
+clip+f-polish,7,0,122880,0.51715670
+clip+f-polish,7,0,123090,0.51715671
+clip+f-polish,7,0,123300,0.51715674
+clip+f-polish,7,0,123510,0.51715674
+clip+f-polish,7,0,123720,0.51715677
+clip+f-polish,7,0,123930,0.51715681
+clip+f-polish,7,0,124140,0.51715683
+clip+f-polish,7,0,124350,0.51715686
+clip+f-polish,7,0,124560,0.51715687
+clip+f-polish,7,0,124770,0.51715693
+clip+f-polish,7,0,124980,0.51715693
+clip+f-polish,7,0,125190,0.51715694
+clip+f-polish,7,0,125400,0.51715697
+clip+f-polish,7,0,125610,0.51715697
+clip+f-polish,7,0,125820,0.51715702
+clip+f-polish,7,0,126030,0.51715703
+clip+f-polish,7,0,126240,0.51715707
+clip+f-polish,7,0,126450,0.51715707
+clip+f-polish,7,0,126660,0.51715709
+clip+f-polish,7,0,126870,0.51715709
+clip+f-polish,7,0,127080,0.51715712
+clip+f-polish,7,0,127290,0.51715712
+clip+f-polish,7,0,127500,0.51715717
+clip+f-polish,7,0,127710,0.51715722
+clip+f-polish,7,0,127920,0.51715724
+clip+f-polish,7,0,128130,0.51715729
+clip+f-polish,7,0,128340,0.51715729
+clip+f-polish,7,0,128550,0.51715729
+clip+f-polish,7,0,128760,0.51715733
+clip+f-polish,7,0,128970,0.51715733
+clip+f-polish,7,0,129180,0.51715736
+clip+f-polish,7,0,129390,0.51715740
+clip+f-polish,7,0,129600,0.51715740
+clip+f-polish,7,0,129810,0.51715744
+clip+f-polish,7,0,130020,0.51715744
+clip+f-polish,7,0,130230,0.51715744
+clip+f-polish,7,0,130440,0.51715750
+clip+f-polish,7,0,130650,0.51715751
