treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-repair_clip,WP3,10,0,SINGLE_VARIANCE,lhs,comma,clip,0.3813874,0.0946928,100200,477,,,
B-repair_clip,WP3,10,1,SINGLE_VARIANCE,lhs,comma,clip,0.40163115,0.04663979,100200,477,,,
B-repair_clip,WP3,10,2,SINGLE_VARIANCE,lhs,comma,clip,0.3972036,0.05714957,100200,477,,,
B-repair_clip,WP3,10,3,SINGLE_VARIANCE,lhs,comma,clip,0.39484372,0.06275127,100200,477,,,
B-repair_clip,WP3,10,4,SINGLE_VARIANCE,lhs,comma,clip,0.40571823,0.03693821,100200,477,,,
B-repair_clip,WP3,10,5,SINGLE_VARIANCE,lhs,comma,clip,0.39958074,0.05150691,100200,477,,,
B-repair_clip,WP3,10,6,SINGLE_VARIANCE,lhs,comma,clip,0.38846162,0.0779006,100200,477,,,
B-repair_clip,WP3,10,7,SINGLE_VARIANCE,lhs,comma,clip,0.40665755,0.03470854,100200,477,,,
B-repair_clip,WP3,10,8,SINGLE_VARIANCE,lhs,comma,clip,0.41457591,0.01591256,100200,477,15360,,
B-repair_clip,WP3,10,9,SINGLE_VARIANCE,lhs,comma,clip,0.39529953,0.06166929,100200,477,,,
B-repair_clip,WP3,15,0,SINGLE_VARIANCE,lhs,comma,clip,0.3216035,0.05710623,100200,477,,,
B-repair_clip,WP3,15,1,SINGLE_VARIANCE,lhs,comma,clip,0.28691701,0.15880189,100200,477,,,
B-repair_clip,WP3,15,2,SINGLE_VARIANCE,lhs,comma,clip,0.2971795,0.12871378,100200,477,,,
B-repair_clip,WP3,15,3,SINGLE_VARIANCE,lhs,comma,clip,0.2883218,0.15468327,100200,477,,,
B-repair_clip,WP3,15,4,SINGLE_VARIANCE,lhs,comma,clip,0.29073425,0.14761031,100200,477,,,
B-repair_clip,WP3,15,5,SINGLE_VARIANCE,lhs,comma,clip,0.29559128,0.13337023,100200,477,,,
B-repair_clip,WP3,15,6,SINGLE_VARIANCE,lhs,comma,clip,0.29189955,0.14419382,100200,477,,,
B-repair_clip,WP3,15,7,SINGLE_VARIANCE,lhs,comma,clip,0.28909105,0.15242793,100200,477,,,
B-repair_clip,WP3,15,8,SINGLE_VARIANCE,lhs,comma,clip,0.26093001,0.23499193,100200,477,,,
B-repair_clip,WP3,15,9,SINGLE_VARIANCE,lhs,comma,clip,0.26475437,0.22377946,100200,477,,,
B-repair_clip,WP3,20,0,SINGLE_VARIANCE,lhs,comma,clip,0.23656593,0.1746116,100200,477,,,
B-repair_clip,WP3,20,1,SINGLE_VARIANCE,lhs,comma,clip,0.23579099,0.17731542,100200,477,,,
B-repair_clip,WP3,20,2,SINGLE_VARIANCE,lhs,comma,clip,0.2238441,0.21899861,100200,477,,,
