treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B+final_polish,WP5,7,14,SINGLE_VARIANCE,lhs,comma,random,0.50833339,0.05143698,100200,477,,,
B+final_polish,WP5,7,15,SINGLE_VARIANCE,lhs,comma,random,0.50296751,0.06144984,100200,477,,,
B+final_polish,WP5,7,16,SINGLE_VARIANCE,lhs,comma,random,0.5011075,0.06492067,100200,477,,,
B+final_polish,WP5,7,17,SINGLE_VARIANCE,lhs,comma,random,0.52070561,0.02835011,100200,477,,,
B+final_polish,WP5,7,18,SINGLE_VARIANCE,lhs,comma,random,0.52112663,0.02756447,100200,477,,,
B+final_polish,WP5,7,19,SINGLE_VARIANCE,lhs,comma,random,0.50311767,0.06116964,100200,477,,,
B+final_polish,WP5,7,20,SINGLE_VARIANCE,lhs,comma,random,0.50979851,0.04870303,100200,477,,,
B+final_polish,WP5,7,21,SINGLE_VARIANCE,lhs,comma,random,0.50723675,0.05348333,100200,477,,,
B+final_polish,WP5,7,22,SINGLE_VARIANCE,lhs,comma,random,0.51487984,0.03922114,100200,477,,,
B+final_polish,WP5,7,23,SINGLE_VARIANCE,lhs,comma,random,0.50765902,0.05269538,100200,477,,,
B+final_polish,WP5,7,24,SINGLE_VARIANCE,lhs,comma,random,0.49623349,0.07401571,100200,477,,,
B+final_polish,WP5,10,0,SINGLE_VARIANCE,lhs,comma,random,0.2288451,0.45678563,100200,477,,,
B+final_polish,WP5,10,1,SINGLE_VARIANCE,lhs,comma,random,0.34636019,0.17783763,100200,477,,,
B+final_polish,WP5,10,2,SINGLE_VARIANCE,lhs,comma,random,0.37669876,0.10582233,100200,477,,,
B+final_polish,WP5,10,3,SINGLE_VARIANCE,lhs,comma,random,0.38682456,0.08178651,100200,477,,,
B+final_polish,WP5,10,4,SINGLE_VARIANCE,lhs,comma,random,0.35976974,0.14600709,100200,477,,,
B+final_polish,WP5,10,5,SINGLE_VARIANCE,lhs,comma,random,0.34385818,0.18377669,100200,477,,,
B+final_polish,WP5,10,6,SINGLE_VARIANCE,lhs,comma,random,0.35379454,0.16019056,100200,477,,,
B+final_polish,WP5,10,7,SINGLE_VARIANCE,lhs,comma,random,0.37071109,0.12003538,100200,477,,,
B+final_polish,WP5,10,8,SINGLE_VARIANCE,lhs,comma,random,0.34225172,0.18758999,100200,477,,,
