init_scheme,n_circles,seed,final_best,final_gap
warm,10,9,0.35581997,0.15538275
warm,10,10,0.18305194,0.5654858
warm,10,11,0.20805467,0.50613631
warm,10,12,0.35061703,0.16773308
warm,10,13,0.39353437,0.0658593
warm,10,14,0.20721972,0.50811824
warm,10,15,0.22329593,0.46995781
warm,10,16,0.35310894,0.16181797
warm,10,17,0.36501608,0.13355374
warm,10,18,0.38327272,0.09021759
warm,10,19,0.38870357,0.07732626
warm,10,20,0.35233747,0.16364923
warm,10,21,0.36592268,0.13140174
warm,10,22,0.20954758,0.50259257
warm,10,23,0.37300388,0.11459296
warm,10,24,0.40363717,0.04187806
warm,15,0,0.11915671,0.6506502
warm,15,1,0.13933233,0.59149829
warm,15,2,0.11736806,0.65589425
warm,15,3,0.29072099,0.14764918
warm,15,4,0.13222968,0.6123222
warm,15,5,0.23909159,0.29901893
warm,15,6,0.1605226,0.52937154
warm,15,7,0.13641037,0.60006503
warm,15,8,0.13423385,0.60644626
warm,15,9,0.11991028,0.64844084
warm,15,10,0.12774926,0.62545813
warm,15,11,0.2791741,0.18150294
warm,15,12,0.25198587,0.26121482
warm,15,13,0.13188199,0.61334158
warm,15,14,0.30093088,0.11771529
warm,15,15,0.14822332,0.56543121
warm,15,16,0.1274917,0.62621324
warm,15,17,0.11745583,0.65563692
warm,15,18,0.13485841,0.60461514
warm,15,19,0.15034192,0.55921979
warm,15,20,0.13082672,0.61643548
warm,15,21,0.12547395,0.63212899
warm,15,22,0.12159286,0.64350778
warm,15,23,0.14324458,0.58002814
warm,15,24,0.12485623,0.63394005
warm,20,0,0.12091824,0.57811122
warm,20,1,0.11118243,0.61207988
warm,20,2,0.10610001,0.62981264
warm,20,3,0.09609858,0.66470806
warm,20,4,0.08724834,0.69558692
warm,20,5,0.11972943,0.58225902
warm,20,6,0.08409066,0.70660419
warm,20,7,0.21869665,0.23695826
warm,20,8,0.09803337,0.65795748
warm,20,9,0.20556606,0.28277144
warm,20,10,0.11218889,0.60856829
warm,20,11,0.10936264,0.61842918
warm,20,12,0.08924639,0.68861563
warm,20,13,0.09893379,0.65481589
warm,20,14,0.09061579,0.68383774
warm,20,15,0.09106329,0.68227637
warm,20,16,0.09793631,0.65829612
warm,20,17,0.09520716,0.66781826
warm,20,18,0.08856182,0.69100411
warm,20,19,0.08707088,0.69620608
warm,20,20,0.12090529,0.5781564
warm,20,21,0.1057018,0.63120201
warm,20,22,0.21657058,0.24437622
warm,20,23,0.08580491,0.70062311
warm,20,24,0.09346403,0.67390009
clustered,7,0,0.51309747,0.04254708
clustered,7,1,0.50428883,0.05898423
clustered,7,2,0.51012182,0.04809973
clustered,7,3,0.50110221,0.06493055
clustered,7,4,0.51613271,0.03688325
clustered,7,5,0.50838039,0.05134928
clustered,7,6,0.51458686,0.03976785
clustered,7,7,0.49564593,0.0751121
clustered,7,8,0.50450514,0.0585806
clustered,7,9,0.52309694,0.02388782
clustered,7,10,0.50362088,0.06023064
clustered,7,11,0.50916814,0.04987932
clustered,7,12,0.50225196,0.06278509
clustered,7,13,0.51276566,0.04316626
clustered,7,14,0.48910574,0.08731627
clustered,7,15,0.50229265,0.06270916
