n_circles,run_id,strategy,selection_scheme,archive_mode,population_size,num_children,best_fitness,optimum,gap,gap_pct,success,evaluations_used,wall_time_s,trace_len
7,21,SINGLE_VARIANCE,comma,off,30,7,0.5074763226261064,0.5358983848622454,0.028422062236138967,5.303629016057767,False,100200,1.2923591999569908,477
7,22,SINGLE_VARIANCE,comma,off,30,7,0.5072594950590009,0.5358983848622454,0.02863888980324447,5.344089590903732,False,100200,1.3228649999946356,477
7,23,SINGLE_VARIANCE,comma,off,30,7,0.5041369370673549,0.5358983848622454,0.03176144779489054,5.9267668446238995,False,100200,1.289309100015089,477
7,24,SINGLE_VARIANCE,comma,off,30,7,0.48743508610806213,0.5358983848622454,0.04846329875418326,9.04337466265007,False,100200,1.3050200000870973,477
7,0,SINGLE_VARIANCE,plus,off,30,7,0.5087503348695073,0.5358983848622454,0.02714804999273812,5.065895094965929,False,100200,1.4163449999177828,477
7,1,SINGLE_VARIANCE,plus,off,30,7,0.5093426458876896,0.5358983848622454,0.026555738974555765,4.955368354278958,False,100200,1.3628897001035511,477
7,2,SINGLE_VARIANCE,plus,off,30,7,0.5017376896693315,0.5358983848622454,0.03416069519291387,6.3744725040914245,False,100200,1.3627647999674082,477
7,3,SINGLE_VARIANCE,plus,off,30,7,0.514184421372306,0.5358983848622454,0.02171396348993937,4.051880748907467,False,100200,1.3718194999964908,477
7,4,SINGLE_VARIANCE,plus,off,30,7,0.5078288356499082,0.5358983848622454,0.028069549212337175,5.2378491902998645,False,100200,1.3925689000170678,477
7,5,SINGLE_VARIANCE,plus,off,30,7,0.38436478461616586,0.5358983848622454,0.15153360024607954,28.27655475861003,False,100200,1.451492500025779,477
7,6,SINGLE_VARIANCE,plus,off,30,7,0.514387496797495,0.5358983848622454,0.021510888064750433,4.013986358678779,False,100200,1.3921136000426486,477
7,7,SINGLE_VARIANCE,plus,off,30,7,0.5275765668121508,0.5358983848622454,0.008321818050094576,1.5528723887148361,False,100200,1.3909699999494478,477
7,8,SINGLE_VARIANCE,plus,off,30,7,0.3914100579876504,0.5358983848622454,0.144488326874595,26.961888849830412,False,100200,1.4228361999848858,477
7,9,SINGLE_VARIANCE,plus,off,30,7,0.531341134253569,0.5358983848622454,0.0045572506086764,0.8503945407202259,False,100200,1.3240621000295505,477
7,10,SINGLE_VARIANCE,plus,off,30,7,0.5093605604579107,0.5358983848622454,0.02653782440433472,4.952025449965923,False,100200,1.3215223000152037,477
7,11,SINGLE_VARIANCE,plus,off,30,7,0.5147609199492543,0.5358983848622454,0.021137464912991066,3.944304649924356,False,100200,1.4453249999787658,477
7,12,SINGLE_VARIANCE,plus,off,30,7,0.40804882005062654,0.5358983848622454,0.12784956481161885,23.857053580126582,False,100200,1.4744692000094801,477
7,13,SINGLE_VARIANCE,plus,off,30,7,0.5145694969509395,0.5358983848622454,0.021328887911305938,3.9800246676967697,False,100200,1.5826405000407249,477
7,14,SINGLE_VARIANCE,plus,off,30,7,0.38888394750541017,0.5358983848622454,0.14701443735683523,27.433267483093054,False,100200,1.492085599922575,477
7,15,SINGLE_VARIANCE,plus,off,30,7,0.5111439689852861,0.5358983848622454,0.024754415876959257,4.619236888225082,False,100200,1.4157977000577375,477
7,16,SINGLE_VARIANCE,plus,off,30,7,0.40545969486087224,0.5358983848622454,0.13043869000137315,24.340190917892556,False,100200,1.4694200999801978,477
7,17,SINGLE_VARIANCE,plus,off,30,7,0.5060928438189768,0.5358983848622454,0.029805541043268602,5.561789676027895,False,100200,1.3985507000470534,477
7,18,SINGLE_VARIANCE,plus,off,30,7,0.5146556668076918,0.5358983848622454,0.021242718054553578,3.9639451535227326,False,100200,1.3958216999890283,477
7,19,SINGLE_VARIANCE,plus,off,30,7,0.5224778527967882,0.5358983848622454,0.013420532065457236,2.5043053766446848,False,100200,1.3880266000051051,477
7,20,SINGLE_VARIANCE,plus,off,30,7,0.40974758201689987,0.5358983848622454,0.12615080284534552,23.5400602817217,False,100200,1.414860300021246,477
7,21,SINGLE_VARIANCE,plus,off,30,7,0.5068505955918122,0.5358983848622454,0.029047789270433166,5.4203912702405335,False,100200,1.400760699994862,477
7,22,SINGLE_VARIANCE,plus,off,30,7,0.5169886015780908,0.5358983848622454,0.018909783284154602,3.528613598829082,False,100200,1.4011572999879718,477
7,23,SINGLE_VARIANCE,plus,off,30,7,0.5154253639117032,0.5358983848622454,0.020473020950542153,3.82031771859227,False,100200,1.4032433000393212,477
7,24,SINGLE_VARIANCE,plus,off,30,7,0.5060137748163954,0.5358983848622454,0.02988461004584997,5.576544152774768,False,100200,1.3897154000587761,477
10,0,SINGLE_VARIANCE,comma,off,30,7,0.36408814761271346,0.42127954398390344,0.05719139637118997,13.575640495227839,False,100200,2.0566980000585318,477
10,1,SINGLE_VARIANCE,comma,off,30,7,0.37314872441921465,0.42127954398390344,0.04813081956468879,11.424912567444244,False,100200,2.091228900011629,477
10,2,SINGLE_VARIANCE,comma,off,30,7,0.1952585483468637,0.42127954398390344,0.22602099563703973,53.65107299054513,False,100200,2.4220600000116974,477
10,3,SINGLE_VARIANCE,comma,off,30,7,0.3849005152931222,0.42127954398390344,0.036379028690781245,8.635365569084277,False,100200,2.1432767999358475,477
10,4,SINGLE_VARIANCE,comma,off,30,7,0.194590308053791,0.42127954398390344,0.22668923593011245,53.80969457628685,False,100200,2.470043900073506,477
10,5,SINGLE_VARIANCE,comma,off,30,7,0.3729281302551045,0.42127954398390344,0.04835141372879892,11.477275462168267,False,100200,2.268431100063026,477
10,6,SINGLE_VARIANCE,comma,off,30,7,0.40274596325505735,0.42127954398390344,0.01853358072884609,4.39935453632048,False,100200,2.1712523999158293,477
10,7,SINGLE_VARIANCE,comma,off,30,7,0.36138761057292323,0.42127954398390344,0.0598919334109802,14.216672579114972,False,100200,2.019261399982497,477
10,8,SINGLE_VARIANCE,comma,off,30,7,0.3745515262445306,0.42127954398390344,0.04672801773937285,11.09192658572529,False,100200,2.2129521999740973,477
10,9,SINGLE_VARIANCE,comma,off,30,7,0.3885247022458579,0.42127954398390344,0.03275484173804555,7.775084787714513,False,100200,2.303029599948786,477
10,10,SINGLE_VARIANCE,comma,off,30,7,0.3570790254362073,0.42127954398390344,0.06420051854769615,15.239410378337565,False,100200,2.0417431000387296,477
10,11,SINGLE_VARIANCE,comma,off,30,7,0.3665939764987999,0.42127954398390344,0.05468556748510356,12.980826690031034,False,100200,1.9981365000130609,477
10,12,SINGLE_VARIANCE,comma,off,30,7,0.34021920848030757,0.42127954398390344,0.08106033550359587,19.241460132869182,False,100200,2.0291253000032157,477
10,13,SINGLE_VARIANCE,comma,off,30,7,0.3841035542743256,0.42127954398390344,0.03717598970957786,8.824541860736137,False,100200,2.169087899965234,477
10,14,SINGLE_VARIANCE,comma,off,30,7,0.368080954090202,0.42127954398390344,0.053198589893701465,12.627859731953686,False,100200,2.077647100086324,477
10,15,SINGLE_VARIANCE,comma,off,30,7,0.36565509090481785,0.42127954398390344,0.05562445307908559,13.203691912753051,False,100200,2.054135199985467,477
10,16,SINGLE_VARIANCE,comma,off,30,7,0.35805803179448104,0.42127954398390344,0.0632215121894224,15.00702160649842,False,100200,2.0175901000620797,477
10,17,SINGLE_VARIANCE,comma,off,30,7,0.21911616676476578,0.42127954398390344,0.20216337721913766,47.98794057440921,False,100200,2.1907472000457346,477
10,18,SINGLE_VARIANCE,comma,off,30,7,0.18541725500983974,0.42127954398390344,0.2358622889740637,55.987121222072844,False,100200,2.20305140002165,477
10,19,SINGLE_VARIANCE,comma,off,30,7,0.358585892407897,0.42127954398390344,0.06269365157600643,14.881722236767772,False,100200,2.0019591000163928,477
10,20,SINGLE_VARIANCE,comma,off,30,7,0.3508889797938918,0.42127954398390344,0.07039056419001166,16.708754363990955,False,100200,2.055098699987866,477
10,21,SINGLE_VARIANCE,comma,off,30,7,0.19976094218158716,0.42127954398390344,0.22151860180231628,52.58233041829826,False,100200,2.2336958999512717,477
10,22,SINGLE_VARIANCE,comma,off,30,7,0.21241095429324397,0.42127954398390344,0.20886858969065947,49.57957077988104,False,100200,2.1458677999908105,477
10,23,SINGLE_VARIANCE,comma,off,30,7,0.3307108285203398,0.42127954398390344,0.09056871546356365,21.498484024902993,False,100200,1.948194699943997,477
10,24,SINGLE_VARIANCE,comma,off,30,7,0.4010502898228912,0.42127954398390344,0.020229254161012233,4.8018600594063425,False,100200,2.1141006000107154,477
10,0,SINGLE_VARIANCE,plus,off,30,7,0.37789399456559636,0.42127954398390344,0.04338554941830708,10.298517940848509,False,100200,2.1580755000468343,477
10,1,SINGLE_VARIANCE,plus,off,30,7,0.3725492408249551,0.42127954398390344,0.04873030315894833,11.567213232838633,False,100200,2.0927423000102863,477
10,2,SINGLE_VARIANCE,plus,off,30,7,0.27126615486791716,0.42127954398390344,0.15001338911598627,35.60898962654548,False,100200,2.1833094999892637,477
10,3,SINGLE_VARIANCE,plus,off,30,7,0.25262178926244866,0.42127954398390344,0.16865775472145478,40.03464139903716,False,100200,2.1534777999622747,477
10,4,SINGLE_VARIANCE,plus,off,30,7,0.27938929831986015,0.42127954398390344,0.1418902456640433,33.680782200396784,False,100200,2.3058608999708667,477
10,5,SINGLE_VARIANCE,plus,off,30,7,0.2719938051594122,0.42127954398390344,0.14928573882449125,35.43626576613349,False,100200,2.2069517999188974,477
10,6,SINGLE_VARIANCE,plus,off,30,7,0.277546058581183,0.42127954398390344,0.14373348540272046,34.11831584403071,False,100200,2.1417698999866843,477
10,7,SINGLE_VARIANCE,plus,off,30,7,0.36688383467292135,0.42127954398390344,0.05439570931098209,12.91202245344732,False,100200,2.085910000023432,477
10,8,SINGLE_VARIANCE,plus,off,30,7,0.2750950022092053,0.42127954398390344,0.14618454177469814,34.700128183836924,False,100200,2.268389099976048,477
10,9,SINGLE_VARIANCE,plus,off,30,7,0.258738067695257,0.42127954398390344,0.16254147628864646,38.58280768905716,False,100200,2.1355916999746114,477
10,10,SINGLE_VARIANCE,plus,off,30,7,0.2700111564939934,0.42127954398390344,0.15126838748991006,35.90689119614359,False,100200,2.2957504000514746,477
10,11,SINGLE_VARIANCE,plus,off,30,7,0.308840953946348,0.42127954398390344,0.11243859003755546,26.6897815579319,False,100200,2.470911500044167,477
10,12,SINGLE_VARIANCE,plus,off,30,7,0.25666905790102934,0.42127954398390344,0.1646104860828741,39.073932839512295,False,100200,2.2134689000668004,477
10,13,SINGLE_VARIANCE,plus,off,30,7,0.35967541893648347,0.42127954398390344,0.061604125047419966,14.62309906264373,False,100200,2.126849599997513,477
10,14,SINGLE_VARIANCE,plus,off,30,7,0.28036320607486626,0.42127954398390344,0.14091633790903718,33.4496036946008,False,100200,2.664991099969484,477
10,15,SINGLE_VARIANCE,plus,off,30,7,0.25836293188356085,0.42127954398390344,0.16291661210034258,38.67185445552216,False,100200,2.4456898999633268,477
10,16,SINGLE_VARIANCE,plus,off,30,7,0.39991621056920384,0.42127954398390344,0.021363333414699592,5.0710588063862545,False,100200,2.1462821000022814,477
10,17,SINGLE_VARIANCE,plus,off,30,7,0.3863630866160037,0.42127954398390344,0.03491645736789972,8.288191977637025,False,100200,2.16460180003196,477
10,18,SINGLE_VARIANCE,plus,off,30,7,0.2570988606441762,0.42127954398390344,0.16418068333972724,38.971909670031444,False,100200,2.1719876000424847,477
10,19,SINGLE_VARIANCE,plus,off,30,7,0.253074105318442,0.42127954398390344,0.16820543866546145,39.92727419774466,False,100200,2.2019181000068784,477
10,20,SINGLE_VARIANCE,plus,off,30,7,0.37718254485979064,0.42127954398390344,0.0440969991241128,10.46739623460039,False,100200,2.2291267999680713,477
10,21,SINGLE_VARIANCE,plus,off,30,7,0.2556709602463799,0.42127954398390344,0.16560858373752352,39.310853352008756,False,100200,2.187804999994114,477
10,22,SINGLE_VARIANCE,plus,off,30,7,0.27074504290068896,0.42127954398390344,0.15053450108321448,35.732687056119254,False,100200,2.144203000003472,477
10,23,SINGLE_VARIANCE,plus,off,30,7,0.27179595514014326,0.42127954398390344,0.14948358884376017,35.483229835976026,False,100200,2.3453922999324277,477
10,24,SINGLE_VARIANCE,plus,off,30,7,0.36997114655971103,0.42127954398390344,0.05130839742419241,12.179180821120724,False,100200,2.144619100028649,477
15,0,SINGLE_VARIANCE,comma,off,30,7,0.15678793705382948,0.34108137740210887,0.18429344034827938,54.03210276444131,False,100200,9.163857299950905,477
15,1,SINGLE_VARIANCE,comma,off,30,7,0.24321999246146808,0.34108137740210887,0.09786138494064078,28.691506316180288,False,100200,8.917123099905439,477
15,2,SINGLE_VARIANCE,comma,off,30,7,0.28243220784783074,0.34108137740210887,0.058649169554278124,17.195066468004566,False,100200,8.715763599961065,477
15,3,SINGLE_VARIANCE,comma,off,30,7,0.2575186781976675,0.34108137740210887,0.08356269920444137,24.49934377564312,False,100200,8.606098799966276,477
15,4,SINGLE_VARIANCE,comma,off,30,7,0.11417917520017953,0.34108137740210887,0.22690220220192933,66.52435964993451,False,100200,9.142471199971624,477
15,5,SINGLE_VARIANCE,comma,off,30,7,0.12767843430395837,0.34108137740210887,0.2134029430981505,62.566577138735056,False,100200,9.25967469997704,477
15,6,SINGLE_VARIANCE,comma,off,30,7,0.1178954161091245,0.34108137740210887,0.22318596129298435,65.43481294490762,False,100200,8.946798900025897,477
15,7,SINGLE_VARIANCE,comma,off,30,7,0.2654019228212889,0.34108137740210887,0.07567945458081998,22.18809339789891,False,100200,8.649016600102186,477
15,8,SINGLE_VARIANCE,comma,off,30,7,0.12872298174340205,0.34108137740210887,0.21235839565870682,62.26033132508214,False,100200,8.865117000066675,477
15,9,SINGLE_VARIANCE,comma,off,30,7,0.2548060519847281,0.34108137740210887,0.08627532541738075,25.294645540166428,False,100200,8.742850000038743,477
15,10,SINGLE_VARIANCE,comma,off,30,7,0.259431469750446,0.34108137740210887,0.08164990765166286,23.938541668138,False,100200,8.926269100047648,477
15,11,SINGLE_VARIANCE,comma,off,30,7,0.15926860964613454,0.34108137740210887,0.18181276775597432,53.30480636051583,False,100200,18.836858200025745,477
15,12,SINGLE_VARIANCE,comma,off,30,7,0.13565569303165753,0.34108137740210887,0.20542568437045133,60.22776322035025,False,100200,22.58501499996055,477
15,13,SINGLE_VARIANCE,comma,off,30,7,0.2709370324802323,0.34108137740210887,0.07014434492187654,20.56528135782146,False,100200,21.72011840005871,477
15,14,SINGLE_VARIANCE,comma,off,30,7,0.13001462241647546,0.34108137740210887,0.2110667549856334,61.8816414408934,False,100200,20.00931059999857,477
15,15,SINGLE_VARIANCE,comma,off,30,7,0.10642845550932623,0.34108137740210887,0.23465292189278264,68.79675568336432,False,100200,19.052167300018482,477
15,16,SINGLE_VARIANCE,comma,off,30,7,0.11485364349054238,0.34108137740210887,0.22622773391156648,66.32661555276331,False,100200,20.948279800009914,477
15,17,SINGLE_VARIANCE,comma,off,30,7,0.2730015358998037,0.34108137740210887,0.06807984150230517,19.9599995815791,False,100200,20.462302399915643,477
15,18,SINGLE_VARIANCE,comma,off,30,7,0.12059356797405757,0.34108137740210887,0.2204878094280513,64.64375484449654,False,100200,21.134016699972562,477
15,19,SINGLE_VARIANCE,comma,off,30,7,0.26454223169172414,0.34108137740210887,0.07653914571038473,22.440142083791027,False,100200,12.013171600061469,477
15,20,SINGLE_VARIANCE,comma,off,30,7,0.24872310628082975,0.34108137740210887,0.09235827112127912,27.078074981618176,False,100200,16.106846500071697,477
15,21,SINGLE_VARIANCE,comma,off,30,7,0.1304877668592707,0.34108137740210887,0.21059361054283818,61.74292250924166,False,100200,21.584788599982858,477
15,22,SINGLE_VARIANCE,comma,off,30,7,0.26051971309733046,0.34108137740210887,0.0805616643047784,23.619484862640963,False,100200,22.494250799994916,477
15,23,SINGLE_VARIANCE,comma,off,30,7,0.1252294235763848,0.34108137740210887,0.21585195382572406,63.284590753616875,False,100200,24.291657000081614,477
15,24,SINGLE_VARIANCE,comma,off,30,7,0.2818526722135401,0.34108137740210887,0.059228705188568764,17.364977718716858,False,100200,24.49603549996391,477
15,0,SINGLE_VARIANCE,plus,off,30,7,0.17827977949868287,0.34108137740210887,0.162801597903426,47.73101338555208,False,100200,20.2851798000047,477
15,1,SINGLE_VARIANCE,plus,off,30,7,0.1791141751856016,0.34108137740210887,0.16196720221650726,47.486380948192405,False,100200,22.130576099967584,477
15,2,SINGLE_VARIANCE,plus,off,30,7,0.1792179303632573,0.34108137740210887,0.16186344703885155,47.455961469285064,False,100200,24.7750605000183,477
