treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-repair_reflect,WP3,7,5,FULL_VARIANCE,lhs,comma,reflect,0.5170217,0.03522438,100200,477,,,
B-repair_reflect,WP3,7,6,FULL_VARIANCE,lhs,comma,reflect,0.51341704,0.04195076,100200,477,,,
B-repair_reflect,WP3,7,7,FULL_VARIANCE,lhs,comma,reflect,0.50439613,0.05878401,100200,477,,,
B-repair_reflect,WP3,7,8,FULL_VARIANCE,lhs,comma,reflect,0.50791835,0.05221146,100200,477,,,
B-repair_reflect,WP3,7,9,FULL_VARIANCE,lhs,comma,reflect,0.50645527,0.05494159,100200,477,,,
B-repair_reflect,WP3,10,0,FULL_VARIANCE,lhs,comma,reflect,0.41498893,0.01493217,100200,477,25860,,
B-repair_reflect,WP3,10,1,FULL_VARIANCE,lhs,comma,reflect,0.35523908,0.15676163,100200,477,,,
B-repair_reflect,WP3,10,2,FULL_VARIANCE,lhs,comma,reflect,0.38498078,0.08616314,100200,477,,,
B-repair_reflect,WP3,10,3,FULL_VARIANCE,lhs,comma,reflect,0.38211714,0.09296061,100200,477,,,
B-repair_reflect,WP3,10,4,FULL_VARIANCE,lhs,comma,reflect,0.39953254,0.05162131,100200,477,,,
B-repair_reflect,WP3,10,5,FULL_VARIANCE,lhs,comma,reflect,0.39937919,0.05198532,100200,477,,,
B-repair_reflect,WP3,10,6,FULL_VARIANCE,lhs,comma,reflect,0.40747408,0.03277033,100200,477,,,
B-repair_reflect,WP3,10,7,FULL_VARIANCE,lhs,comma,reflect,0.38126498,0.0949834,100200,477,,,
B-repair_reflect,WP3,10,8,FULL_VARIANCE,lhs,comma,reflect,0.37946403,0.09925836,100200,477,,,
B-repair_reflect,WP3,10,9,FULL_VARIANCE,lhs,comma,reflect,0.3998963,0.05075784,100200,477,,,
B-repair_reflect,WP3,15,0,FULL_VARIANCE,lhs,comma,reflect,0.15336005,0.55037109,100200,477,,,
B-repair_reflect,WP3,15,1,FULL_VARIANCE,lhs,comma,reflect,0.27583513,0.19129231,100200,477,,,
B-repair_reflect,WP3,15,2,FULL_VARIANCE,lhs,comma,reflect,0.11652244,0.65837348,100200,477,,,
B-repair_reflect,WP3,15,3,FULL_VARIANCE,lhs,comma,reflect,0.12809059,0.6244574,100200,477,,,
B-repair_reflect,WP3,15,4,FULL_VARIANCE,lhs,comma,reflect,0.13213104,0.61261138,100200,477,,,
B-repair_reflect,WP3,15,5,FULL_VARIANCE,lhs,comma,reflect,0.12873981,0.62255399,100200,477,,,
B-repair_reflect,WP3,15,6,FULL_VARIANCE,lhs,comma,reflect,0.30104174,0.11739028,100200,477,,,
B-repair_reflect,WP3,15,7,FULL_VARIANCE,lhs,comma,reflect,0.23061464,0.3238721,100200,477,,,
B-repair_reflect,WP3,15,8,FULL_VARIANCE,lhs,comma,reflect,0.27269932,0.20048604,100200,477,,,
B-repair_reflect,WP3,15,9,FULL_VARIANCE,lhs,comma,reflect,0.13800573,0.59538768,100200,477,,,
B-repair_reflect,WP3,20,0,FULL_VARIANCE,lhs,comma,reflect,0.08818535,0.69231766,100200,477,,,
B-repair_reflect,WP3,20,1,FULL_VARIANCE,lhs,comma,reflect,0.11711531,0.5913798,100200,477,,,
B-repair_reflect,WP3,20,2,FULL_VARIANCE,lhs,comma,reflect,0.08777541,0.69374794,100200,477,,,
B-repair_reflect,WP3,20,3,FULL_VARIANCE,lhs,comma,reflect,0.08902459,0.68938949,100200,477,,,
B-repair_reflect,WP3,20,4,FULL_VARIANCE,lhs,comma,reflect,0.08854455,0.69106436,100200,477,,,
B-repair_reflect,WP3,20,5,FULL_VARIANCE,lhs,comma,reflect,0.09727709,0.66059619,100200,477,,,
B-repair_reflect,WP3,20,6,FULL_VARIANCE,lhs,comma,reflect,0.08477615,0.70421249,100200,477,,,
B-repair_reflect,WP3,20,7,FULL_VARIANCE,lhs,comma,reflect,0.10794048,0.62339115,100200,477,,,
B-repair_reflect,WP3,20,8,FULL_VARIANCE,lhs,comma,reflect,0.09756596,0.65958831,100200,477,,,
B-repair_reflect,WP3,20,9,FULL_VARIANCE,lhs,comma,reflect,0.10806853,0.62294441,100200,477,,,
