treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-repair_clip,WP3,15,8,MULTIPLE_VARIANCE,lhs,comma,clip,0.27820998,0.18432962,100200,477,,,
B-repair_clip,WP3,15,9,MULTIPLE_VARIANCE,lhs,comma,clip,0.25560881,0.2505929,100200,477,,,
B-repair_clip,WP3,20,0,MULTIPLE_VARIANCE,lhs,comma,clip,0.22500136,0.21496086,100200,477,,,
B-repair_clip,WP3,20,1,MULTIPLE_VARIANCE,lhs,comma,clip,0.21294965,0.25700981,100200,477,,,
B-repair_clip,WP3,20,2,MULTIPLE_VARIANCE,lhs,comma,clip,0.2191103,0.23551504,100200,477,,,
B-repair_clip,WP3,20,3,MULTIPLE_VARIANCE,lhs,comma,clip,0.21053498,0.26543469,100200,477,,,
B-repair_clip,WP3,20,4,MULTIPLE_VARIANCE,lhs,comma,clip,0.22902686,0.20091574,100200,477,,,
B-repair_clip,WP3,20,5,MULTIPLE_VARIANCE,lhs,comma,clip,0.21773266,0.24032169,100200,477,,,
B-repair_clip,WP3,20,6,MULTIPLE_VARIANCE,lhs,comma,clip,0.23043751,0.19599392,100200,477,,,
B-repair_clip,WP3,20,7,MULTIPLE_VARIANCE,lhs,comma,clip,0.21913583,0.23542597,100200,477,,,
B-repair_clip,WP3,20,8,MULTIPLE_VARIANCE,lhs,comma,clip,0.23400683,0.18354043,100200,477,,,
B-repair_clip,WP3,20,9,MULTIPLE_VARIANCE,lhs,comma,clip,0.20863168,0.27207536,100200,477,,,
B-repair_reflect,WP3,7,0,MULTIPLE_VARIANCE,lhs,comma,reflect,0.51392692,0.04099931,100200,477,,,
B-repair_reflect,WP3,7,1,MULTIPLE_VARIANCE,lhs,comma,reflect,0.52715649,0.0163126,100200,477,27960,,
B-repair_reflect,WP3,7,2,MULTIPLE_VARIANCE,lhs,comma,reflect,0.50607889,0.05564394,100200,477,,,
B-repair_reflect,WP3,7,3,MULTIPLE_VARIANCE,lhs,comma,reflect,0.50364294,0.06018947,100200,477,,,
B-repair_reflect,WP3,7,4,MULTIPLE_VARIANCE,lhs,comma,reflect,0.52359168,0.02296462,100200,477,,,
B-repair_reflect,WP3,7,5,MULTIPLE_VARIANCE,lhs,comma,reflect,0.52349493,0.02314517,100200,477,,,
B-repair_reflect,WP3,7,6,MULTIPLE_VARIANCE,lhs,comma,reflect,0.51058082,0.04724322,100200,477,,,
B-repair_reflect,WP3,7,7,MULTIPLE_VARIANCE,lhs,comma,reflect,0.51435977,0.0401916,100200,477,,,
B-repair_reflect,WP3,7,8,MULTIPLE_VARIANCE,lhs,comma,reflect,0.5288328,0.01318457,100200,477,38460,,
B-repair_reflect,WP3,7,9,MULTIPLE_VARIANCE,lhs,comma,reflect,0.5298764,0.01123717,100200,477,18720,,
B-repair_reflect,WP3,10,0,MULTIPLE_VARIANCE,lhs,comma,reflect,0.39142148,0.07087471,100200,477,,,
B-repair_reflect,WP3,10,1,MULTIPLE_VARIANCE,lhs,comma,reflect,0.40980032,0.02724847,100200,477,,,
B-repair_reflect,WP3,10,2,MULTIPLE_VARIANCE,lhs,comma,reflect,0.32912514,0.21874882,100200,477,,,
B-repair_reflect,WP3,10,3,MULTIPLE_VARIANCE,lhs,comma,reflect,0.39078158,0.07239364,100200,477,,,
