variant,n_circles,seed,evaluations,best_fitness
baseline,7,0,52740,0.52345917
baseline,7,0,52950,0.52345915
baseline,7,0,53160,0.52345916
baseline,7,0,53370,0.52345917
baseline,7,0,53580,0.52345918
baseline,7,0,53790,0.52345919
baseline,7,0,54000,0.52345920
baseline,7,0,54210,0.52345924
baseline,7,0,54420,0.52345923
baseline,7,0,54630,0.52345921
baseline,7,0,54840,0.52345921
baseline,7,0,55050,0.52345928
baseline,7,0,55260,0.52345929
baseline,7,0,55470,0.52345929
baseline,7,0,55680,0.52345937
baseline,7,0,55890,0.52345931
baseline,7,0,56100,0.52345934
baseline,7,0,56310,0.52345939
baseline,7,0,56520,0.52345941
baseline,7,0,56730,0.52345938
baseline,7,0,56940,0.52345940
baseline,7,0,57150,0.52345943
baseline,7,0,57360,0.52345950
baseline,7,0,57570,0.52345948
baseline,7,0,57780,0.52345948
baseline,7,0,57990,0.52345950
baseline,7,0,58200,0.52345947
baseline,7,0,58410,0.52345952
baseline,7,0,58620,0.52345951
baseline,7,0,58830,0.52345960
baseline,7,0,59040,0.52345952
baseline,7,0,59250,0.52345957
baseline,7,0,59460,0.52345960
baseline,7,0,59670,0.52345956
baseline,7,0,59880,0.52345959
baseline,7,0,60090,0.52345961
baseline,7,0,60300,0.52345966
baseline,7,0,60510,0.52345965
baseline,7,0,60720,0.52345962
baseline,7,0,60930,0.52345964
baseline,7,0,61140,0.52345968
baseline,7,0,61350,0.52345967
baseline,7,0,61560,0.52345967
baseline,7,0,61770,0.52345970
baseline,7,0,61980,0.52345973
baseline,7,0,62190,0.52345976
baseline,7,0,62400,0.52345977
baseline,7,0,62610,0.52345976
baseline,7,0,62820,0.52345976
baseline,7,0,63030,0.52345975
baseline,7,0,63240,0.52345974
baseline,7,0,63450,0.52345977
baseline,7,0,63660,0.52345987
baseline,7,0,63870,0.52345980
baseline,7,0,64080,0.52345981
baseline,7,0,64290,0.52345988
baseline,7,0,64500,0.52345994
baseline,7,0,64710,0.52345984
baseline,7,0,64920,0.52345996
baseline,7,0,65130,0.52345989
baseline,7,0,65340,0.52345995
baseline,7,0,65550,0.52345995
baseline,7,0,65760,0.52345996
baseline,7,0,65970,0.52345992
baseline,7,0,66180,0.52345992
baseline,7,0,66390,0.52345998
baseline,7,0,66600,0.52345995
baseline,7,0,66810,0.52346002
baseline,7,0,67020,0.52346003
baseline,7,0,67230,0.52346001
baseline,7,0,67440,0.52346007
baseline,7,0,67650,0.52346006
baseline,7,0,67860,0.52346008
baseline,7,0,68070,0.52346012
baseline,7,0,68280,0.52346011
baseline,7,0,68490,0.52346013
baseline,7,0,68700,0.52346012
baseline,7,0,68910,0.52346015
baseline,7,0,69120,0.52346012
baseline,7,0,69330,0.52346009
baseline,7,0,69540,0.52346017
baseline,7,0,69750,0.52346020
baseline,7,0,69960,0.52346016
baseline,7,0,70170,0.52346019
baseline,7,0,70380,0.52346027
baseline,7,0,70590,0.52346022
baseline,7,0,70800,0.52346025
baseline,7,0,71010,0.52346034
baseline,7,0,71220,0.52346032
baseline,7,0,71430,0.52346029
baseline,7,0,71640,0.52346030
baseline,7,0,71850,0.52346026
baseline,7,0,72060,0.52346030
baseline,7,0,72270,0.52346034
baseline,7,0,72480,0.52346028
baseline,7,0,72690,0.52346029
baseline,7,0,72900,0.52346034
baseline,7,0,73110,0.52346035
baseline,7,0,73320,0.52346035
