treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP1,20,4,SINGLE_VARIANCE,lhs,comma,off,0.1970589,0.31245329,100200,477,,,
baseline,WP1,20,5,SINGLE_VARIANCE,lhs,comma,off,0.22475794,0.21581018,100200,477,,,
baseline,WP1,20,6,SINGLE_VARIANCE,lhs,comma,off,0.25156693,0.12227248,100200,477,,,
baseline,WP1,20,7,SINGLE_VARIANCE,lhs,comma,off,0.2193378,0.23472126,100200,477,,,
baseline,WP1,20,8,SINGLE_VARIANCE,lhs,comma,off,0.22831444,0.20340141,100200,477,,,
baseline,WP1,20,9,SINGLE_VARIANCE,lhs,comma,off,0.22860761,0.20237853,100200,477,,,
baseline,WP1,20,10,SINGLE_VARIANCE,lhs,comma,off,0.22109724,0.22858253,100200,477,,,
baseline,WP1,20,11,SINGLE_VARIANCE,lhs,comma,off,0.20839772,0.27289167,100200,477,,,
baseline,WP1,20,12,SINGLE_VARIANCE,lhs,comma,off,0.23675187,0.17396287,100200,477,,,
baseline,WP1,20,13,SINGLE_VARIANCE,lhs,comma,off,0.22992991,0.19776496,100200,477,,,
baseline,WP1,20,14,SINGLE_VARIANCE,lhs,comma,off,0.23949086,0.1644064,100200,477,,,
baseline,WP1,20,15,SINGLE_VARIANCE,lhs,comma,off,0.0802504,0.720003,100200,477,,,
baseline,WP1,20,16,SINGLE_VARIANCE,lhs,comma,off,0.21761578,0.24072948,100200,477,,,
baseline,WP1,20,17,SINGLE_VARIANCE,lhs,comma,off,0.20607276,0.28100355,100200,477,,,
baseline,WP1,20,18,SINGLE_VARIANCE,lhs,comma,off,0.21911187,0.23550956,100200,477,,,
baseline,WP1,20,19,SINGLE_VARIANCE,lhs,comma,off,0.22666576,0.20915372,100200,477,,,
baseline,WP1,20,20,SINGLE_VARIANCE,lhs,comma,off,0.22691372,0.20828857,100200,477,,,
baseline,WP1,20,21,SINGLE_VARIANCE,lhs,comma,off,0.22146195,0.22731003,100200,477,,,
baseline,WP1,20,22,SINGLE_VARIANCE,lhs,comma,off,0.22170719,0.22645436,100200,477,,,
baseline,WP1,20,23,SINGLE_VARIANCE,lhs,comma,off,0.22067995,0.23003845,100200,477,,,
baseline,WP1,20,24,SINGLE_VARIANCE,lhs,comma,off,0.11322324,0.60495939,100200,477,,,
B-no_lhs,WP1,7,0,SINGLE_VARIANCE,uniform,comma,off,0.50951626,0.04922972,100200,477,,,
B-no_lhs,WP1,7,1,SINGLE_VARIANCE,uniform,comma,off,0.52518078,0.01999932,100200,477,,,
B-no_lhs,WP1,7,2,SINGLE_VARIANCE,uniform,comma,off,0.52954987,0.01184649,100200,477,12000,,
B-no_lhs,WP1,7,3,SINGLE_VARIANCE,uniform,comma,off,0.50920353,0.04981328,100200,477,,,
B-no_lhs,WP1,7,4,SINGLE_VARIANCE,uniform,comma,off,0.5112883,0.04592305,100200,477,,,
B-no_lhs,WP1,7,5,SINGLE_VARIANCE,uniform,comma,off,0.50229197,0.06271042,100200,477,,,
B-no_lhs,WP1,7,6,SINGLE_VARIANCE,uniform,comma,off,0.52125401,0.02732678,100200,477,,,
B-no_lhs,WP1,7,7,SINGLE_VARIANCE,uniform,comma,off,0.52025052,0.02919931,100200,477,,,
B-no_lhs,WP1,7,8,SINGLE_VARIANCE,uniform,comma,off,0.51369758,0.04142727,100200,477,,,
B-no_lhs,WP1,7,9,SINGLE_VARIANCE,uniform,comma,off,0.5222981,0.02537848,100200,477,,,
B-no_lhs,WP1,7,10,SINGLE_VARIANCE,uniform,comma,off,0.50315559,0.0610989,100200,477,,,
B-no_lhs,WP1,7,11,SINGLE_VARIANCE,uniform,comma,off,0.50583217,0.05610432,100200,477,,,
B-no_lhs,WP1,7,12,SINGLE_VARIANCE,uniform,comma,off,0.50404568,0.05943797,100200,477,,,
B-no_lhs,WP1,7,13,SINGLE_VARIANCE,uniform,comma,off,0.51683664,0.03556969,100200,477,,,
B-no_lhs,WP1,7,14,SINGLE_VARIANCE,uniform,comma,off,0.52280825,0.02442652,100200,477,,,
B-no_lhs,WP1,7,15,SINGLE_VARIANCE,uniform,comma,off,0.50710645,0.05372648,100200,477,,,
B-no_lhs,WP1,7,16,SINGLE_VARIANCE,uniform,comma,off,0.51377414,0.0412844,100200,477,,,
B-no_lhs,WP1,7,17,SINGLE_VARIANCE,uniform,comma,off,0.52727496,0.01609152,100200,477,12630,,
B-no_lhs,WP1,7,18,SINGLE_VARIANCE,uniform,comma,off,0.51604028,0.03705573,100200,477,,,
B-no_lhs,WP1,7,19,SINGLE_VARIANCE,uniform,comma,off,0.52127478,0.02728802,100200,477,,,
B-no_lhs,WP1,7,20,SINGLE_VARIANCE,uniform,comma,off,0.50511716,0.05743855,100200,477,,,
B-no_lhs,WP1,7,21,SINGLE_VARIANCE,uniform,comma,off,0.50535079,0.0570026,100200,477,,,
B-no_lhs,WP1,7,22,SINGLE_VARIANCE,uniform,comma,off,0.53548574,0.00077001,100200,477,11580,19560,
B-no_lhs,WP1,7,23,SINGLE_VARIANCE,uniform,comma,off,0.50200751,0.06324124,100200,477,,,
B-no_lhs,WP1,7,24,SINGLE_VARIANCE,uniform,comma,off,0.52238794,0.02521084,100200,477,,,
B-no_lhs,WP1,10,0,SINGLE_VARIANCE,uniform,comma,off,0.38842147,0.07799588,100200,477,,,
B-no_lhs,WP1,10,1,SINGLE_VARIANCE,uniform,comma,off,0.38423253,0.08793926,100200,477,,,
B-no_lhs,WP1,10,2,SINGLE_VARIANCE,uniform,comma,off,0.38339007,0.08993902,100200,477,,,
B-no_lhs,WP1,10,3,SINGLE_VARIANCE,uniform,comma,off,0.38240838,0.0922693,100200,477,,,
B-no_lhs,WP1,10,4,SINGLE_VARIANCE,uniform,comma,off,0.39976923,0.05105948,100200,477,,,
B-no_lhs,WP1,10,5,SINGLE_VARIANCE,uniform,comma,off,0.40190086,0.04599958,100200,477,,,
B-no_lhs,WP1,10,6,SINGLE_VARIANCE,uniform,comma,off,0.38508194,0.08592299,100200,477,,,
B-no_lhs,WP1,10,7,SINGLE_VARIANCE,uniform,comma,off,0.3917966,0.06998427,100200,477,,,
B-no_lhs,WP1,10,8,SINGLE_VARIANCE,uniform,comma,off,0.39353243,0.0658639,100200,477,,,
B-no_lhs,WP1,10,9,SINGLE_VARIANCE,uniform,comma,off,0.38944803,0.07555913,100200,477,,,
B-no_lhs,WP1,10,10,SINGLE_VARIANCE,uniform,comma,off,0.37890035,0.10059637,100200,477,,,
B-no_lhs,WP1,10,11,SINGLE_VARIANCE,uniform,comma,off,0.40021289,0.05000635,100200,477,,,
B-no_lhs,WP1,10,12,SINGLE_VARIANCE,uniform,comma,off,0.36226581,0.14008212,100200,477,,,
B-no_lhs,WP1,10,13,SINGLE_VARIANCE,uniform,comma,off,0.38219915,0.09276594,100200,477,,,
B-no_lhs,WP1,10,14,SINGLE_VARIANCE,uniform,comma,off,0.38448578,0.08733811,100200,477,,,
B-no_lhs,WP1,10,15,SINGLE_VARIANCE,uniform,comma,off,0.40440913,0.04004566,100200,477,,,
B-no_lhs,WP1,10,16,SINGLE_VARIANCE,uniform,comma,off,0.35214401,0.16410845,100200,477,,,
B-no_lhs,WP1,10,17,SINGLE_VARIANCE,uniform,comma,off,0.40681622,0.0343319,100200,477,,,
B-no_lhs,WP1,10,18,SINGLE_VARIANCE,uniform,comma,off,0.35260061,0.16302462,100200,477,,,
B-no_lhs,WP1,10,19,SINGLE_VARIANCE,uniform,comma,off,0.38785601,0.07933814,100200,477,,,
B-no_lhs,WP1,10,20,SINGLE_VARIANCE,uniform,comma,off,0.39345221,0.06605431,100200,477,,,
B-no_lhs,WP1,10,21,SINGLE_VARIANCE,uniform,comma,off,0.35461369,0.15824612,100200,477,,,
B-no_lhs,WP1,10,22,SINGLE_VARIANCE,uniform,comma,off,0.3601449,0.14511658,100200,477,,,
B-no_lhs,WP1,10,23,SINGLE_VARIANCE,uniform,comma,off,0.4052073,0.03815101,100200,477,,,
B-no_lhs,WP1,10,24,SINGLE_VARIANCE,uniform,comma,off,0.37910381,0.10011341,100200,477,,,
B-no_lhs,WP1,15,0,SINGLE_VARIANCE,uniform,comma,off,0.25895512,0.24078201,100200,477,,,
B-no_lhs,WP1,15,1,SINGLE_VARIANCE,uniform,comma,off,0.28172225,0.17403215,100200,477,,,
B-no_lhs,WP1,15,2,SINGLE_VARIANCE,uniform,comma,off,0.28386257,0.16775705,100200,477,,,
B-no_lhs,WP1,15,3,SINGLE_VARIANCE,uniform,comma,off,0.27006368,0.20821335,100200,477,,,
B-no_lhs,WP1,15,4,SINGLE_VARIANCE,uniform,comma,off,0.30518336,0.10524767,100200,477,,,
B-no_lhs,WP1,15,5,SINGLE_VARIANCE,uniform,comma,off,0.25714543,0.24608775,100200,477,,,
B-no_lhs,WP1,15,6,SINGLE_VARIANCE,uniform,comma,off,0.29617167,0.1316686,100200,477,,,
B-no_lhs,WP1,15,7,SINGLE_VARIANCE,uniform,comma,off,0.29102544,0.14675657,100200,477,,,
B-no_lhs,WP1,15,8,SINGLE_VARIANCE,uniform,comma,off,0.28077891,0.1767979,100200,477,,,
B-no_lhs,WP1,15,9,SINGLE_VARIANCE,uniform,comma,off,0.28728175,0.15773253,100200,477,,,
B-no_lhs,WP1,15,10,SINGLE_VARIANCE,uniform,comma,off,0.28986998,0.15014421,100200,477,,,
B-no_lhs,WP1,15,11,SINGLE_VARIANCE,uniform,comma,off,0.28412888,0.16697627,100200,477,,,
B-no_lhs,WP1,15,12,SINGLE_VARIANCE,uniform,comma,off,0.30111621,0.11717195,100200,477,,,
B-no_lhs,WP1,15,13,SINGLE_VARIANCE,uniform,comma,off,0.29473248,0.1358881,100200,477,,,
B-no_lhs,WP1,15,14,SINGLE_VARIANCE,uniform,comma,off,0.29133635,0.14584504,100200,477,,,
B-no_lhs,WP1,15,15,SINGLE_VARIANCE,uniform,comma,off,0.27782999,0.18544368,100200,477,,,
B-no_lhs,WP1,15,16,SINGLE_VARIANCE,uniform,comma,off,0.31506971,0.07626235,100200,477,,,
B-no_lhs,WP1,15,17,SINGLE_VARIANCE,uniform,comma,off,0.28721987,0.15791396,100200,477,,,
B-no_lhs,WP1,15,18,SINGLE_VARIANCE,uniform,comma,off,0.27412186,0.19631536,100200,477,,,
B-no_lhs,WP1,15,19,SINGLE_VARIANCE,uniform,comma,off,0.28588467,0.16182856,100200,477,,,
B-no_lhs,WP1,15,20,SINGLE_VARIANCE,uniform,comma,off,0.28095988,0.17626731,100200,477,,,
B-no_lhs,WP1,15,21,SINGLE_VARIANCE,uniform,comma,off,0.26554851,0.22145116,100200,477,,,
B-no_lhs,WP1,15,22,SINGLE_VARIANCE,uniform,comma,off,0.25421387,0.25468265,100200,477,,,
B-no_lhs,WP1,15,23,SINGLE_VARIANCE,uniform,comma,off,0.29129781,0.14595803,100200,477,,,
B-no_lhs,WP1,15,24,SINGLE_VARIANCE,uniform,comma,off,0.28842028,0.15439453,100200,477,,,
B-no_lhs,WP1,20,0,SINGLE_VARIANCE,uniform,comma,off,0.1849413,0.3547321,100200,477,,,
B-no_lhs,WP1,20,1,SINGLE_VARIANCE,uniform,comma,off,0.23174143,0.19144448,100200,477,,,
B-no_lhs,WP1,20,2,SINGLE_VARIANCE,uniform,comma,off,0.21623023,0.24556373,100200,477,,,
B-no_lhs,WP1,20,3,SINGLE_VARIANCE,uniform,comma,off,0.20138939,0.29734403,100200,477,,,
B-no_lhs,WP1,20,4,SINGLE_VARIANCE,uniform,comma,off,0.23767442,0.17074404,100200,477,,,
B-no_lhs,WP1,20,5,SINGLE_VARIANCE,uniform,comma,off,0.23478122,0.18083854,100200,477,,,
B-no_lhs,WP1,20,6,SINGLE_VARIANCE,uniform,comma,off,0.20016065,0.30163115,100200,477,,,
B-no_lhs,WP1,20,7,SINGLE_VARIANCE,uniform,comma,off,0.22500381,0.21495234,100200,477,,,
B-no_lhs,WP1,20,8,SINGLE_VARIANCE,uniform,comma,off,0.24136643,0.15786246,100200,477,,,
B-no_lhs,WP1,20,9,SINGLE_VARIANCE,uniform,comma,off,0.24731901,0.13709365,100200,477,,,
