n_circles,strategy,init_mode,success_rate_1e-02,n_success_1e-02,ert_1e-02,ert_normalised_1e-02,fht_median_1e-02,fht_mean_1e-02,fht_std_1e-02,fht_min_1e-02,success_rate_1e-03,n_success_1e-03,ert_1e-03,ert_normalised_1e-03,fht_median_1e-03,fht_mean_1e-03,fht_std_1e-03,fht_min_1e-03,success_rate_1e-05,n_success_1e-05,ert_1e-05,ert_normalised_1e-05,fht_median_1e-05,fht_mean_1e-05,fht_std_1e-05,fht_min_1e-05,median_final_fitness,mean_final_fitness,std_final_fitness,best_final_fitness,worst_final_fitness,median_gap,mean_gap,best_gap,median_evals,mean_evals,median_evals_to_90pct,budget_exhausted_count
10,FULL_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.19659961746238022,0.1952621411451748,0.01665542984598437,0.22402355846306324,0.1674147724626152,0.22467992652152322,0.22601740283872865,0.1972559855208402,100170.0,100170.0,inf,25
10,FULL_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.20709114660718572,0.20506674412412568,0.018014801050645776,0.26597387964231806,0.17514153177905545,0.21418839737671772,0.21621279985977776,0.15530566434158538,100170.0,100170.0,inf,25
15,SINGLE_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.14665855580801568,0.18603543375750176,0.0625008797285209,0.27762363355729236,0.10450717086972616,0.1944228215940932,0.1550459436446071,0.0634577438448165,100170.0,100170.0,inf,25
15,SINGLE_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.14846750965317065,0.1726761632751918,0.06991876185738988,0.3053218011830567,0.02454865538572632,0.1926138677489382,0.16840521412691703,0.03575957621905218,100170.0,100170.0,inf,25
15,MULTIPLE_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.26115819346742053,0.2532621828690248,0.025549167800090186,0.28567852781797975,0.19229770863810405,0.07992318393468834,0.0878191945330841,0.05540284958412911,100170.0,100170.0,inf,25
15,MULTIPLE_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.2609523895154648,0.25991501424339875,0.02202229427234651,0.3131847123864618,0.2041493922280955,0.08012898788664408,0.08116636315871009,0.027896665015647082,100170.0,100170.0,inf,25
15,FULL_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.1246498476492403,0.129736887296305,0.01464039072419318,0.17168151274337412,0.10829713273800935,0.21643152975286856,0.21134449010580386,0.16939986465873474,100170.0,100170.0,inf,25
15,FULL_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.12819157685013918,0.1299445551345126,0.009744930494534693,0.1489664792197767,0.11269922000152946,0.21288980055196968,0.21113682226759625,0.19211489818233216,100170.0,100170.0,inf,25
20,SINGLE_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.1053569851155907,0.13852062406983795,0.05242151923756336,0.216791116665229,0.0812862311973858,0.18125466723609085,0.14809102828184362,0.06982053568645258,100170.0,100170.0,inf,25
20,SINGLE_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.10184377846864096,0.12151440848127298,0.052461614250064494,0.21531060430109492,0.016053111758523638,0.1847678738830406,0.16509724387040858,0.07130104805058665,100170.0,100170.0,inf,25
20,MULTIPLE_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.18755939705877428,0.18476137308612206,0.022000876497952702,0.22449071814719854,0.12643974592621152,0.09905225529290729,0.1018502792655595,0.06212093420448303,100170.0,100170.0,inf,25
20,MULTIPLE_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.18287438284742194,0.18055380714950392,0.025739673406194357,0.21395086754976075,0.09771464823505574,0.10373726950425963,0.10605784520217762,0.07266078480192081,100170.0,100170.0,inf,25
20,FULL_VARIANCE,random,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.09664292138591804,0.0948468923617797,0.008493140018981975,0.11068319563237784,0.07680373261002191,0.18996873096576353,0.19176475998990183,0.17592845671930374,100170.0,100170.0,inf,25
20,FULL_VARIANCE,cluster_corner,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.0,0,inf,inf,,,,,0.09458372109533006,0.09624948384117099,0.009484108546777944,0.12856445771181466,0.07973125132486418,0.1920279312563515,0.19036216851051058,0.1580471946398669,100170.0,100170.0,inf,25
